55.862317 -4.257267 | 151 west george st | glasgow | lanarkshire | g2 2jj
55.870019 -4.209706 | east warehouse 130 blochairn roa | glasgow | lanarkshire | g21 2du
55.875486 -4.207064 | 51 dinwiddie st | glasgow | lanarkshire | g21 2aw
55.864653 -4.271741 | 72 11 kent rd | glasgow | lanarkshire | g3 7eh
55.857395 -4.144935 | 211 hallhill rd | glasgow | lanarkshire | g33 4ql
55.848483 -4.281826 | 91 vermont st | glasgow | lanarkshire | g41 1lu
55.914264 -4.199896 | 111 westerhill rd | glasgow | lanarkshire | g64 2qr
55.860671 -4.113659 | 261 springhill parkway | glasgow | lanarkshire | g69 6ga
55.865605 -4.270754 | tay house 300 bath st | glasgow | lanarkshire | g2 4jr
55.863169 -4.253403 | 205 buchanan st unit 5 | glasgow | lanarkshire | g1 2jz
55.871197 -4.339570 | 100 clydeholm rd | glasgow | lanarkshire | g14 0qq
55.822386 -4.248877 | 2 kingshill dr | glasgow | lanarkshire | g44 4qx
55.811710 -4.378338 | glasgow rd | glasgow | lanarkshire | g78 1th
55.792633 -4.089170 | 9 clydeview shopping centre | glasgow | lanarkshire | g72 0qd
55.860358 -4.238918 | 13 duke st unit 1 | glasgow | lanarkshire | g4 0ul
55.785160 -4.274835 | 13 eaglesham rd | glasgow | lanarkshire | g76 7bu
55.852835 -4.274812 | 7 houston pl unit 1a | glasgow | lanarkshire | g5 8sg
55.817679 -4.166558 | 10 greenlees rd cambuslang | glasgow | lanarkshire | g72 8jj
55.894702 -4.131028 | 3 pavillions cumbernauld rd | glasgow | lanarkshire | g33 6le
55.859931 -4.362245 | 455 hillington rd | glasgow | lanarkshire | g52 4bl
55.809766 -4.241915 | 30 croftfoot rd | glasgow | lanarkshire | g44 5jt
55.883067 -4.254498 | 207 saracen st | glasgow | lanarkshire | g22 5jn
55.889023 -4.322708 | 1553 great western rd | glasgow | lanarkshire | g13 1hn
55.841955 -4.276195 | 565 shields rd | glasgow | lanarkshire | g41 2rw
55.856574 -4.181082 | 38 camelon st unit 19 | glasgow | lanarkshire | g32 6af
